customer_id,channel_id,visit_timestamp,bounce_timestamp
1,1,2023-01-15 10:00:00,2023-01-15 10:15:00
1,2,2023-01-15 14:30:00,2023-01-15 14:35:00
2,2,2023-01-22 09:00:00,2023-01-22 09:10:00
2,3,2023-02-10 16:00:00,2023-02-10 16:05:00
3,1,2023-02-14 11:00:00,2023-02-14 11:20:00
3,2,2023-03-01 13:00:00,2023-03-01 13:08:00
4,3,2023-01-30 15:00:00,2023-01-30 15:03:00
4,1,2023-03-18 10:30:00,2023-03-18 10:40:00
5,1,2023-02-28 12:00:00,2023-02-28 12:12:00
5,2,2023-04-15 17:00:00,2023-04-15 17:06:00
6,3,2023-03-22 14:00:00,2023-03-22 14:04:00
6,1,2023-06-15 09:30:00,2023-06-15 09:38:00
7,2,2023-04-10 11:00:00,2023-04-10 11:07:00
7,3,2023-07-20 16:30:00,2023-07-20 16:35:00
8,1,2023-05-12 10:00:00,2023-05-12 10:05:00
8,2,2023-08-25 13:00:00,2023-08-25 13:09:00
